Variables,Exactitud,Precision,Sensibilidad,F1_Score,AUC
"['Media', 'PUAL']",0.73,0.745,0.731,0.738,0.841
"['RMS', 'PUI', 'Frecuencia_Dom']",0.72,0.718,0.76,0.738,0.813
"['RMS', 'Velocidad_Media', 'Frecuencia_Dom']",0.72,0.718,0.76,0.738,0.813
"['Media', 'Velocidad_Media']",0.72,0.731,0.731,0.731,0.815
"['Media', 'PUI']",0.72,0.731,0.731,0.731,0.815
"['PUI', 'Velocidad_Media', 'Frecuencia_Dom']",0.71,0.717,0.731,0.724,0.772
"['RMS', 'PUI']",0.71,0.721,0.721,0.721,0.814
"['RMS', 'Velocidad_Media']",0.71,0.721,0.721,0.721,0.814
"['RMS', 'PUI', 'Velocidad_Media']",0.705,0.723,0.702,0.712,0.81
['PUAL'],0.695,0.701,0.721,0.711,0.792
"['Media', 'PUI', 'Velocidad_Media']",0.7,0.716,0.702,0.709,0.81
"['PUAL', 'Frecuencia_Dom']",0.695,0.713,0.692,0.702,0.802
"['Media', 'RMS']",0.665,0.67,0.702,0.685,0.685
['Velocidad_Media'],0.685,0.72,0.644,0.68,0.765
['PUI'],0.685,0.72,0.644,0.68,0.765
"['PUI', 'Velocidad_Media']",0.685,0.72,0.644,0.68,0.765
"['PUI', 'Frecuencia_Dom']",0.665,0.695,0.635,0.663,0.756
"['Velocidad_Media', 'Frecuencia_Dom']",0.665,0.695,0.635,0.663,0.756
"['Media', 'RMS', 'PUAL_Ratio']",0.655,0.673,0.654,0.663,0.664
"['Media', 'RMS', 'Frecuencia_Dom']",0.595,0.604,0.644,0.623,0.656
['Media'],0.595,0.606,0.635,0.62,0.62
"['RMS', 'Frecuencia_Dom']",0.565,0.574,0.635,0.603,0.621
"['Media', 'PUAL_Ratio', 'Frecuencia_Dom']",0.575,0.587,0.615,0.601,0.611
"['RMS', 'PUAL_Ratio', 'Frecuencia_Dom']",0.575,0.589,0.606,0.597,0.602
"['Media', 'PUAL_Ratio']",0.6,0.63,0.558,0.592,0.613
"['Media', 'Frecuencia_Dom']",0.555,0.566,0.615,0.59,0.613
"['RMS', 'PUAL_Ratio']",0.58,0.602,0.567,0.584,0.593
['Frecuencia_Dom'],0.535,0.551,0.567,0.559,0.532
"['PUAL_Ratio', 'Frecuencia_Dom']",0.52,0.542,0.5,0.52,0.535
['PUAL_Ratio'],0.505,0.527,0.462,0.492,0.506
['RMS'],0.45,0.473,0.5,0.486,0.467
